month,year,total_stream_dn_electricity_kwh,mthw_kwh,steam_kwh,lpg_kwh,woodchip_pellet_kwh,solar_kwh
Jan,2022,2666022.785,882860,603729.2542,267055.7526,73770,1
Feb,2022,2702224.627,886950,466066.3051,267055.7526,121570,3567
Mar,2022,3254557.831,1057320,544021.8305,272338.7286,189280,4668
Apr,2022,3125000.171,1390460,882966.8305,535314.4131,188230,2995
May,2022,3683255.374,1902630,1063783.356,284853.3975,453950,1812
Jun,2022,3728325.013,2352150,1207140.356,365154.5249,588900,1026
Jul,2022,3901568.861,2631050,1660269.712,408923.9026,739710,1045
Aug,2022,3866309.001,2193547,1074892.831,403953.482,618090,2329
Sep,2022,3591847.255,2084430,1174694.644,485490.3378,595810,2446
Oct,2022,3513574.226,2046890,1201203.966,383857.6225,482950,2974.2
Nov,2022,2813819.284,1236867,845178.5763,398442.3476,208940,2258.1
Dec,2022,2495401.838,536240,798710.2373,242447.5071,101410,2277.2
Jan,2023,2527644.928,806188,552945.5254,281549.5038,77200,1532.1
Feb,2023,2637154.797,784246,550772.8305,267110.338,77090,1595.9
Mar,2023,3261550.06,1242068,682615.3898,254303.1595,233830,2520
Apr,2023,3097949.978,1582880,768727.6102,273815.9476,317630,2848.8
May,2023,3572115.457,1867226,984561.9831,323616.4183,526130,1524.2
Jun,2023,3504665.058,2183608,1115680.763,306719.3286,580910,913.5
Jul,2023,3690040.856,2485373,1372038.441,323355,727620,1047.3
Aug,2023,3917122.956,2752910,1403867.102,410408,697410,1707
Sep,2023,3464517.785,2255240,1148142.39,389175,504840,2564.1
Oct,2023,3420999.476,2023701,947406.1525,351762,422520,3162
Nov,2023,2868989.837,1275338,873028.9322,347413,264180,2243.6
Dec,2023,2535856.341,1220450,473948.9831,306124,51500,1703.7
Jan,2024,2616949.678,1090082,795980.1017,260482,29110,2205.8
Feb,2024,2684761.93,1215228,599494.661,189425,52424.97,2693.5
Mar,2024,3158657.94,1750460,897756.0847,213297,223873.6,2360.6
Apr,2024,3183011.887,1903140,847275.339,234802,301485.38,1622.2
May,2024,3794274.714,2682010,1175232.492,315945,404373.61,1699.6
Jun,2024,3441555.938,2502168,1062959.644,342520,262606,708.6
Jul,2024,3693138.234,2672173,1116472.186,362369,215836,1196.1
Aug,2024,3778698.911,2725880,1245431.949,359128,421406,2234.5
Sep,2024,3406716.135,2257100,1052031.169,405043,353278.78,2018.4
Oct,2024,3410971.499,2097170,932674.3051,382578,307205.03,2206.3
