"meter_description","Jan_2022","Feb_2022","Mar_2022","Apr_2022","May_2022","Jun_2022","Jul_2022","Aug_2022","Sep_2022","Oct_2022","Nov_2022","Dec_2022","Jan_2023","Feb_2023","Mar_2023","Apr_2023","May_2023","Jun_2023","Jul_2023","Aug_2023","Sep_2023","Oct_2023","Nov_2023","Dec_2023","Jan_2024","Feb_2024","Mar_2024","Apr_2024","May_2024","Jun_2024","Jul_2024","Aug_2024","Sep_2024","Oct_2024","Nov_2024"
"G601,UNIVERSITY COLLEGE (KITCHEN),315 LEITH",0.0,0.0,395.92140588,1400.95266696,1126.85323212,1492.31914524,1370.4971742,1096.39773936,1492.31914524,1370.4971742,1461.86365248,944.12027556,60.910985520000004,121.82197104000001,395.92140588,639.56534796,730.93182624,944.12027556,1010.0,770.0,920.0,761.0,881.0,579.0,0.0,0.0,210.0,692.0,696.0,974.0,919.0,430.0,919.0,1097.0,910.0
"E213,PARKER BUILDING,344 GREAT KING",8116.924600890001,8116.924600890001,5472.0840006,5593.68586728,6353.6975340300005,6080.093334,8208.1260009,3587.2550670600003,7660.91760084,7934.52180087,7356.91293414,6840.10500075,6049.69286733,6080.093334,60.80093334,0.0,0.0,3344.0513337,8465.0,8880.0,8416.0,7175.0,7250.0,7818.0,5248.0,0.0,269.0,6792.0,8371.0,8717.0,10700.0,9299.0,11375.0,12133.0,11472.0
"ARANA 110 CLYDE STREET,DUNEDIN",3168.63852448,3168.63852448,8226.2730924,12004.265179279999,10237.13984832,14654.95317572,12430.812672959999,9627.78628592,10359.0105608,9079.36807976,9201.23879224,5910.72955528,3534.25066192,1286.0,20041.13062632,7891.128633079999,9384.04486096,9323.10950472,9379.0,9413.0,10068.0,8775.0,10152.0,4824.0,4748.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"DENTAL 310 GREAT KING STREET,DUNEDIN NORTH,DUNEDIN",0.0,0.0,744.79919888,1523.4529068,0.0,1958.5250624,1979.591209600003,1546.3141924800002,52943.547148,19393.991632079997,8619.979972000001,0.0,6639.731405600003,661.4549096000001,1015.6352711999999,1049.48978024,6026.10260912,2166.68857856,1983.0,4049.0,2660.0,2573.0,2912.0,2880.0,2082.0,2204.0,2205.0,2082.0,,1798.0,,240.0,239.0,1660.0,1552.0
"ECCLES GREAT KING STREET,UNIVERSITY OF",252499.974552,252499.974552,252499.974552,505845.66039200005,259192.124744,327952.129464,374613.330528,376782.76383199997,399396.348272,333467.637864,358986.056728,222679.459136,261140.937712,255257.728752,216943.33039999998,229077.44887999998,266877.066448,272613.195184,293222.0,382678.0,361583.0,296108.0,312208.0,271198.0,229596.0,191548.0,210008.0,225157.0,303085.0,321948.0,345686.0,342506.0,390787.0,365907.0,294191.0
"MARSH STUDY CENTRE,CASTLE STREET,DUNEDIN",0.0,0.0,0.0,0.0,61.47004426,522.49537621,399.55528769000006,30.73502213,184.41013278000003,153.67511065000002,276.61519917000004,30.73502213,0.0,0.0,0.0,0.0,184.41013278000003,245.88017704,1198.0,645.0,489.0,0.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,31.0,0.0,31.0,30.0,91.0
"CHILDCARE CENTRE,563 CASTLE STREET,DUNEDIN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,597.8165226,39.854434839999996,358.68991356,597.8165226,39.854434839999996,597.8165226,79.70886967999999,10999.82401584,26383.635864080003,31564.71239328,7851.32366348,7660.0,3569.0,4430.0,40.0,600.0,13237.0,17453.0,196.0,705.0,79.0,6697.0,8870.0,6366.0,3245.0,80.0,79.0,394.0
"PHYSIO BUILDING, 325 GREAT KING ST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3408.0,1612.0,1672.0,1256.0
"AQUINAS 74 GLADSTONE ROAD,DUNEDIN",2926.78093752,2926.78093752,4656.2424006,8602.96214968,7538.6781724,12150.575407280001,9578.55579552,10421.1139442,12727.06256164,11618.433418640001,11529.7430872,5498.80054928,3503.2680918799997,3325.887429,4789.27789776,8602.96214968,8425.5814868,9933.31712128,0.0,0.0,0.0,35872.0,13238.0,5341.0,1288.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"56A TE AWE AWE STREET,HOKOWHITU,PALMERSTON NORTH",343.4339652,343.4339652,343.4339652,343.4339652,343.4339652,343.4339652,343.4339652,263.29937332,686.8679304,480.80755128,412.12075824,503.70314895999996,22.895597679999998,297.64276983999997,57.23899419999999,171.7169826,423.56855707999995,297.64276983999997,438.0,404.0,609.0,458.0,80.0,247.0,67.0,201.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
