meter_location,Jan_2022,Feb_2022,Mar_2022,Apr_2022,May_2022,Jun_2022,Jul_2022,Aug_2022,Sep_2022,Oct_2022,Nov_2022,Dec_2022,Jan_2023,Feb_2023,Mar_2023,Apr_2023,May_2023,Jun_2023,Jul_2023,Aug_2023,Sep_2023,Oct_2023,Nov_2023,Dec_2023,Jan_2024,Feb_2024,Mar_2024,Apr_2024,May_2024,Jun_2024,Jul_2024,Aug_2024,Sep_2024,Oct_2024
St Margaret's MTHW ,47000,47000,89000,88000,88000,107000,223000,118000,133000,91000,47000,36000,30200,36760,70040,84000,106000,110000,131000,135000,111000,96000,16000,0,0,19000,69180,82820,123000,83200,111800,120000,108000,93650
"G601, UniCol ",24138,85526,162178,209670,276338,329276,373018,330343,322623,312603,129948,22276,19916,74997,155022,223318,271056,316107,355508,380432,299324,249872,77874,33660,39114,79302,185658,217654,351516,316107,310959,339190,273786,281304
"D402, Hayward College ",35790,36210,44630,52840,68780,81640,91530,79580,74160,70500,43090,38660,33760,35920,56930,64980,78490,82510,94000,100000,84690,67910,46400,32000,34400,39600,55170,57190,74400,55430,57470,68340,82000,71530
"F402, Union",13120,13350,41750,50500,76370,98280,107170,91040,79510,71710,45120,17770,0,3430,38300,46440,53870,86990,96740,99870,77980,60310,49370,28120,22630,29990,44990,48150,114170,135210,142510,133710,105000,99990
"F505, Richardson Total",70400,57580,91180,113220,178900,244390,277480,230550,225400,181170,96060,81700,54320,33310,80260,144380,175910,215970,248420,235160,163090,140620,116000,74270,61660,70940,131450,123910,225300,228760,251010,233510,191820,154650
"F518, Arts Building ",17100,16600,28100,43000,67800,80400,103400,90200,81000,69400,31400,22100,9500,6900,33500,50800,75300,71300,85400,102200,64900,54600,39400,19400,15000,18700,39900,55100,88900,68300,78200,80300,51600,47100
G401 Mellor Lab total,127500,131600,157500,201800,304300,422100,451200,372100,350600,304500,177800,161400,99400,101599.8047,168100.1953,223501,280000,349600,399899,408301,271199,242500,203700.5859,141999.4141,112700,119299.6,189800.79,216200.2,332200.2,324798.81,348000.99,331899.41,260099.6,224101.58
"G404, Microbiology ",50000,55780,76570,75630,103760,113850,188950,142060,129300,121770,68800,59930,40790,48170,78610,113010,167980,140760,137780,198140,126250,118420,114540,81670,54530,76570,95450,102000,144400,133940,154940,141410,118040,100620
"G413, Science 2 total",91850,76460,112780,119450,182660,238800,263150,229170,237440,216430,132260,112950,83360,76809.98535,97660.01465,132050,178980,202050,215250,217960,192470,178400,138960,100460,91560,99050,150579.937,166520.039,226940.004,203879.961,221569.966,211340.02,169640.019,148000
"G405, Science 3 ",76300,73200,77300,91400,161500,227500,259000,181900,197000,182200,84500,74300,39800,32900,52200,92000,107300,158000,184100,177600,132200,119800,103800,88900,84300,96400,96100,98700,163600,169000,184400,184500,146000,138400
"F419, ISB ",23000,34000,20000,48000,68000,110000,175000,108000,83000,82000,52000,35000,19800,25200,58160,80840,121000,118000,143000,139000,135000,61540,62460,51000,27000,36000,110000,101340,145660,120000,177000,130000,140000,112000
E201 Dental Steam Total,52172,52172,103367,81064,125486,131936,177402,91531,86872,59768,29643,47334.33333,47334.33333,57539.33333,67378,62339,65230,81034,98325,93371,69675,38946,46031,29125,26898,20095,45570,61887,85541,63962,38853,96742,86318,219582
MTHW Total consumption,882860,886950,1057320,1390460,1902630,2352150,2631050,2193547,2084430,2046890,1236867,536240,806188,784246,1242068,1582880,1867226,2183608,2485373,2752910,2255240,2023701,1275338,1220450,1090082,1215228,1750460,1903140,2682010,2502168,2672173,2725880,2257100,2097170
