"meter_reading_month","meter_reading_year","ring_main_1_mp4889_kwh","ring_main_3_kwh","taieri_farm_kwh","castle_college_kwh","med_school_sub_main_kwh","hayward_college_kwh","survey_marine_kwh","cumberland_college_kwh","zoology_buildings_kwh","dental_school_kwh","hunter_centre_kwh","physiotherapy_kwh","student_health_kwh","research_support_facility_kwh","hocken_library_kwh","great_king_street_kwh","botany_tin_hut_kwh","physical_education_kwh","executive_residence_kwh","owheo_building_kwh","robertson_library_kwh","plaza_building_kwh","education_main_boiler_room_kwh","mellor_laboratories_kwh","biochemistry_kwh","microbiology_kwh","science_2_kwh","st_margarets_college_kwh","unicol_kwh","selwyn_college_kwh","arana_college_main_kwh","studholm_college_kwh","carrington_college_kwh","aquinas_college_kwh","caroline_freeman_college_kwh","portobello_marine_lab_kwh","abbey_college_kwh"
Jan,2022,251350.978,440424.382,5108.36,11006.16,327840.03,9460.99,9963.728,18225.27,69033.088,163820.864,14940.712,142957.368,9905.05,103243.08,68096.4,109335.43,21619.552,14269.856,3184.326,29788.49,33022.12,132734.407,41395.888,105178.752,142364.04,98978.64,117647.736,15498.576,31056.272,9109.068,27736.592,9162.46,7481.59,8067.39,28866.51,24710.26,9438.37
Feb,2022,258506.224,444172.076,4832.68,14045.024,334840.35,15397.23,10737.416,25812.61,61635.856,149261.728,14445.744,133487.16,10439.52,94709.8,60933.328,98047.92,21814.452,14967.44,3481.794,27845.59,38208.57,127971.067,42710.064,97322.72,132295.608,94068.384,110835.864,22857.39,46680.72,19710.936,35153.952,16661.09,18554.49,14094.49,47815.56,25267.87,12601.91
Mar,2022,305807.132,519503.259,5474.11,23767.872,374717.28,25299.55,13596.736,43444.23,71100.032,177405.44,14334.04,154091.88,12529.18,105043.72,68675.728,110226.2,28049.388,21471.824,4247.004,31621.0,45788.83,141535.574,52238.08,113705.088,149336.688,108025.08,124466.616,34832.604,72225.952,32905.524,50402.48,32275.52,32457.24,28857.55,73572.15,28900.57,22626.68
Apr,2022,301477.281,487604.94,6012.11,20786.656,363227.76,22042.35,13572.792,38529.47,65889.856,155201.056,13544.56,147724.152,17841.91,91983.04,63277.952,106434.71,36248.66,26929.584,6150.864,29930.47,44075.01,124295.826,50871.6,105821.12,142409.328,96618.6,120885.36,33771.756,66279.936,34081.02,45199.632,30739.11,32580.19,33565.97,93146.31,30259.42,25989.81
May,2022,368266.87,606794.981,3417.19,24610.72,409979.49,26364.83,17680.424,48061.39,71397.84,167116.672,17434.52,160646.52,23271.25,94787.36,67776.768,109583.64,44558.124,38658.48,6653.364,34572.55,46953.25,137722.263,66122.944,115579.872,152989.776,101740.08,133904.496,38951.094,81338.08,53866.554,54997.152,50320.7,41436.96,50143.51,142035.42,34664.49,38855.75
Jun,2022,349975.301,705035.506,3067.72,22214.272,377286.63,23444.1,15654.924,42054.53,72474.032,145395.872,15497.388,161043.0,29529.54,94090.04,62069.264,105134.11,49167.004,52347.808,24373.986,32869.58,42061.74,123264.818,68435.616,108671.36,151741.944,96235.368,145255.608,35980.128,76659.392,58802.862,49162.8,52206.45,43434.95,58936.82,154049.13,37133.83,43567.59
Jul,2022,293299.369,757101.765,3370.79,23154.928,410549.73,24267.0,16693.732,44898.77,78764.88,169241.856,15442.264,165533.424,32356.33,95697.64,70941.12,109309.85,53740.892,56881.52,20747.556,34543.1,33123.86,114116.935,78874.864,113879.36,161403.528,100340.4,147425.952,38702.508,81596.192,66641.76,51920.736,60932.97,46195.99,71220.21,173416.53,35910.4,49330.15
Aug,2022,286410.614,456433.794,3372.79,23881.424,403650.99,26190.2,17542.416,47390.56,77214.576,165493.408,17498.796,162273.504,27460.13,97352.4,76628.608,107218.83,41248.52,51578.512,7394.37,34779.42,43194.71,141536.911,78104.032,119970.048,159507.6,104576.952,148776.216,39878.244,84484.704,64360.314,55323.616,60960.69,43106.73,63946.67,163297.59,31982.8,43252.1
Sep,2022,269283.265,676192.258,3271.79,22567.36,384896.58,25914.83,16022.692,45666.48,76386.48,158119.648,16483.436,150783.336,24094.23,92020.88,68296.832,99593.07,40634.112,49572.64,5112.834,35788.38,42556.85,126967.056,72108.0,114243.808,149133.096,101239.416,126293.136,38093.826,79445.008,59771.448,53956.608,53064.48,39734.41,55712.46,148097.28,32947.12,37782.12
Oct,2022,267365.485,646846.514,3349.26,23390.336,385808.43,26218.29,16077.444,46891.09,74295.808,161432.736,12848.888,154154.184,21227.57,99877.6,61328.8,104778.42,27927.112,42745.808,4537.698,35880.81,44243.34,129526.305,64288.544,116012.352,145513.272,100892.016,127217.736,38109.312,80128.672,56099.508,55007.216,51225.93,38002.95,49839.88,135279.6,30936.51,34268.8
