"meter_description","Jan_2022","Feb_2022","Mar_2022","Apr_2022","May_2022","Jun_2022","Jul_2022","Aug_2022","Sep_2022","Oct_2022","Nov_2022","Dec_2022","Jan_2023","Feb_2023","Mar_2023","Apr_2023","May_2023","Jun_2023","Jul_2023","Aug_2023","Sep_2023","Oct_2023","Nov_2023","Dec_2023","Jan_2024","Feb_2024","Mar_2024","Apr_2024","May_2024","Jun_2024","Jul_2024","Aug_2024","Sep_2024","Oct_2024","Nov_2024"
"G601,UNIVERSITY COLLEGE (KITCHEN),315 LEITH",60.91,121.82,395.92,1400.95,1126.85,1492.32,1370.5,1096.4,1492.32,1370.5,1461.86,944.12,60.91,121.82,395.92,639.57,730.93,944.12,1010.0,770.0,920.0,761.0,881.0,579.0,60.91,121.82,210.0,692.0,696.0,974.0,919.0,430.0,919.0,1097.0,910.0
"E213,PARKER BUILDING,344 GREAT KING",8116.92,8116.92,5472.08,5593.69,6353.7,6080.09,8208.13,3587.26,7660.92,7934.52,7356.91,6840.11,6049.69,6080.09,60.8,6192.84,7362.35,3344.05,8465.0,8880.0,8416.0,7175.0,7250.0,7818.0,5248.0,7098.5,269.0,6792.0,8371.0,8717.0,10700.0,9299.0,11375.0,12133.0,11472.0
"ARANA 110 CLYDE STREET,DUNEDIN",3168.64,3168.64,8226.27,12004.27,10237.14,14654.95,12430.81,9627.79,10359.01,9079.37,9201.24,5910.73,3534.25,1286.0,20041.13,7891.13,9384.04,9323.11,9379.0,9413.0,10068.0,8775.0,10152.0,4824.0,4748.0,2227.32,14133.7,9947.7,9810.59,11989.03,10904.9,9520.4,10213.51,8927.19,9676.62
"DENTAL 310 GREAT KING STREET,DUNEDIN NORTH,DUNEDIN",4360.86,1432.72,744.8,1523.45,6026.1,1958.53,1979.59,1546.31,52943.55,19393.99,8619.98,2880.0,6639.73,661.45,1015.64,1049.49,6026.1,2166.69,1983.0,4049.0,2660.0,2573.0,2912.0,2880.0,2082.0,2204.0,2205.0,2082.0,6026.1,1798.0,1981.3,240.0,239.0,1660.0,1552.0
"ECCLES GREAT KING STREET,UNIVERSITY OF",252499.97,252499.97,252499.97,505845.66,259192.12,327952.13,374613.33,376782.76,399396.35,333467.64,358986.06,222679.46,261140.94,255257.73,216943.33,229077.45,266877.07,272613.2,293222.0,382678.0,361583.0,296108.0,312208.0,271198.0,229596.0,191548.0,210008.0,225157.0,303085.0,321948.0,345686.0,342506.0,390787.0,365907.0,294191.0
"MARSH STUDY CENTRE,CASTLE STREET,DUNEDIN",0.0,0.0,0.0,0.0,61.47,522.5,399.56,30.74,184.41,153.68,276.62,30.74,0.0,0.0,0.0,0.0,184.41,245.88,1198.0,645.0,489.0,91.84,92.0,30.74,0.0,0.0,0.0,0.0,122.94,213.0,31.0,337.87,31.0,30.0,91.0
"CHILDCARE CENTRE,563 CASTLE STREET,DUNEDIN",9025.41,137.85,5852.41,13231.32,19130.86,8360.66,7013.0,597.82,39.85,358.69,597.82,39.85,597.82,79.71,10999.82,26383.64,31564.71,7851.32,7660.0,3569.0,4430.0,40.0,600.0,13237.0,17453.0,196.0,705.0,79.0,6697.0,8870.0,6366.0,3245.0,80.0,79.0,394.0
"PHYSIO BUILDING, 325 GREAT KING ST",0.0,0.0,0.0,0.0,0.0,0.0,0.0,3408.0,1612.0,1672.0,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3408.0,1612.0,1672.0,1256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3408.0,1612.0,1672.0,1256.0
"AQUINAS 74 GLADSTONE ROAD,DUNEDIN",2926.78,2926.78,4656.24,8602.96,7538.68,12150.58,9578.56,10421.11,12727.06,11618.43,11529.74,5498.8,3503.27,3325.89,4789.28,8602.96,8425.58,9933.32,9578.56,10421.11,12727.06,35872.0,13238.0,5341.0,1288.0,3126.34,4722.76,8602.96,7982.13,11041.95,9578.56,10421.11,12727.06,23745.22,12383.87
"56A TE AWE AWE STREET,HOKOWHITU,PALMERSTON NORTH",343.43,343.43,343.43,343.43,343.43,343.43,343.43,263.3,686.87,480.81,412.12,503.7,22.9,297.64,57.24,171.72,423.57,297.64,438.0,404.0,609.0,458.0,80.0,247.0,67.0,201.0,200.34,257.58,383.5,320.53,390.72,333.65,647.93,469.4,246.06
